Topic_Name,prevalence,top_terms_phi,top_terms_gamma
Big-Pharma,11.23,"people, stop, cdc, fuck, shit","big_pharma, mongering, fear_mongering, crimes, crimes_humanity"
COVID-19-Outbreaks,7.77,"covid, coronavirus, virus, cdc, amp","malaria, dis, social_media, click, outbreaks_viruses"
COVID-19-Testing,7.47,"test, covid, testing, people, tested","test, vaping, pcr, kits, covid_test"
Government-Skepticism,11.21,"cdc, trump, people, trust, science","lies_lies, lost_credibility, trust_cdc, disease_control, white_house"
Masks,11.06,"mask, vaccinated, masks, people, wear","fully_vaccinated, wear_masks, vaccinated_people, wearing_masks, people_wear"
Public-Health,7.76,"health, amp, covid, care, public","healthcare_workers, mental_health, opioid, nursing_homes, care_workers"
Quarantine-Distancing,8.07,"kids, school, schools, home, children","school, border, illegals, southern_border, back_school"
Sanitation,8.49,"masks, face, mask, virus, hands","wash, cloth, wash_hands, washing, face_masks"
U.S.-Cases-Deaths,8.85,"covid, cases, deaths, numbers, states","cruise, united_states, covid_cases, covid_deaths, flights"
Vaccine-Side-Effects,9.53,"vaccine, covid, people, vaccines, shot","pregnant, side_effects, pregnant_women, flu_shot, survival_rate"
Vaccine-Skepticism,8.56,"immunity, covid, vaccine, long, natural","natural_immunity, long_term, herd, herd_immunity, lasts"
